"","market_id","created_at","actual_delivery_time","store_id","store_primary_category","order_protocol","total_items","subtotal","num_distinct_items","min_item_price","max_item_price","total_onshift_dashers","total_busy_dashers","total_outstanding_orders","estimated_order_place_duration","estimated_store_to_consumer_driving_duration"
"1",1,2015-02-15 03:18:05,2015-02-15 04:44:41,1145,"pizza",5,3,3100,2,500,1300,69,69,105,251,878
"2",4,2015-02-13 02:06:52,2015-02-13 02:58:30,3805,"indian",3,6,5000,5,300,1700,66,60,94,251,485
"3",4,2015-02-04 23:52:40,2015-02-05 00:01:31,5797,"asian",2,2,925,2,375,450,17,17,23,251,686
"4",5,2015-02-01 01:54:34,2015-02-01 02:36:48,4001,"indian",3,4,3096,3,499,899,19,16,20,251,514
"5",2,2015-01-30 02:37:21,2015-01-30 03:24:18,6576,"mexican",5,2,1390,1,695,695,54,51,82,251,804
"6",3,2015-02-02 01:18:49,2015-02-02 01:56:02,4784,"pizza",5,4,3295,4,350,1050,4,2,2,251,451
"7",3,2015-01-29 03:00:45,2015-01-29 03:30:07,2195,"japanese",1,4,4435,3,650,1395,14,13,13,446,251
"8",2,2015-02-12 19:44:57,2015-02-12 20:40:07,2114,"breakfast",2,2,1230,2,405,825,56,48,85,251,837
"9",2,2015-02-05 21:03:52,2015-02-05 21:46:31,809,"salad",3,1,998,1,748,748,56,60,75,251,811
"10",4,2015-01-31 05:14:43,2015-01-31 06:01:35,632,"japanese",2,3,2889,3,599,1495,19,25,39,251,377
"11",4,2015-01-25 02:14:14,2015-01-25 03:58:59,3972,"indian",3,4,2796,4,199,1299,13,10,11,251,562
"12",5,2015-02-13 02:46:49,2015-02-13 03:31:04,5343,"burger",2,2,1700,2,300,1100,47,47,66,251,446
"13",5,2015-02-16 04:16:03,2015-02-16 04:52:37,5486,"asian",1,1,1199,1,1199,1199,54,53,73,446,639
"14",2,2015-02-17 03:54:23,2015-02-17 04:21:19,4023,"chinese",1,2,1390,1,695,695,97,83,82,446,457
"15",1,2015-02-13 00:55:18,2015-02-13 02:41:53,5270,"japanese",1,4,3225,4,550,1250,0,0,0,446,519
"16",2,2015-02-15 23:32:28,2015-02-16 00:19:42,4766,"burger",5,5,3230,5,349,999,31,27,32,251,511
"17",1,2015-02-11 23:14:39,2015-02-11 23:47:13,84,"sushi",2,2,2050,2,700,1250,17,9,8,251,321
"18",5,2015-02-06 20:06:49,2015-02-06 20:32:53,4160,"american",1,1,600,1,600,600,23,22,27,446,220
"19",1,2015-02-12 20:52:03,2015-02-12 22:00:16,3039,"pizza",3,4,3821,4,499,1399,0,0,0,251,328
"20",2,2015-02-06 01:07:39,2015-02-06 01:53:15,4939,"asian",2,3,1225,2,375,375,88,36,37,251,897
"21",3,2015-01-30 03:29:24,2015-01-30 04:20:38,552,"afghan",1,3,3597,3,899,1399,22,23,29,446,791
"22",3,2015-02-14 02:09:05,2015-02-14 03:25:52,4534,"american",1,3,2950,3,325,1550,15,15,21,446,739
"23",2,2015-02-07 03:13:24,2015-02-07 04:42:32,4861,"alcohol",4,2,3100,2,500,2300,62,57,125,251,946
"24",1,2015-02-09 00:13:52,2015-02-09 01:07:10,3815,"burger",1,3,1527,3,239,869,6,6,7,446,928
"25",4,2015-02-03 01:26:52,2015-02-03 02:14:51,6389,"chinese",1,4,2935,4,150,995,27,28,46,446,533
"26",4,2015-02-06 06:37:24,2015-02-06 07:19:17,4212,"dim-sum",3,3,3300,3,600,1600,7,6,6,251,645
"27",4,2015-02-08 01:16:00,2015-02-08 01:43:11,3620,"burger",5,4,2596,4,249,989,88,71,92,251,728
"28",2,2015-02-10 02:41:28,2015-02-10 03:25:05,1853,"burger",4,2,1700,1,850,850,61,47,70,251,528
"29",5,2015-02-12 02:29:55,2015-02-12 03:09:51,6097,"other",3,3,3400,2,500,1050,26,5,14,251,308
"30",2,2015-02-08 20:41:46,2015-02-08 21:07:00,6248,"mediterranean",2,1,1104,1,489,584,24,36,44,251,493
"31",6,2015-02-09 01:34:40,2015-02-09 03:16:41,4301,"dessert",1,2,4550,2,1250,3300,12,11,16,446,716
"32",1,2015-01-22 04:49:44,2015-01-22 05:33:23,6484,"thai",1,1,900,1,900,900,7,5,4,446,587
"33",4,2015-01-21 22:08:36,2015-01-21 22:27:01,5914,"greek",1,2,1800,2,900,900,20,15,14,446,442
"34",4,2015-02-04 02:01:41,2015-02-04 02:37:42,3562,"japanese",5,8,3010,3,25,745,52,52,57,251,511
"35",1,2015-02-03 02:13:42,2015-02-03 03:18:02,3622,"convenience-store",4,8,2534,7,159,579,10,10,15,251,237
"36",1,2015-02-07 01:43:01,2015-02-07 02:32:22,6851,"seafood",5,1,1599,1,1599,1599,50,50,51,251,415
"37",1,2015-02-17 20:58:12,2015-02-17 21:33:50,6764,"cafe",4,2,800,2,255,375,29,29,39,251,373
"38",4,2015-02-06 03:05:06,2015-02-06 03:54:13,3462,"italian",3,1,1695,1,1695,1695,72,42,71,251,618
"39",4,2015-01-23 00:19:39,2015-01-23 00:43:49,1229,"korean",2,4,5846,4,999,1949,24,26,29,251,441
"40",3,2015-02-15 19:51:37,2015-02-15 21:07:11,3856,"breakfast",1,2,1874,2,849,1025,3,3,7,446,472
"41",1,2015-01-29 02:14:31,2015-01-29 03:31:25,274,"barbecue",2,6,3970,6,395,1095,13,12,14,251,827
"42",2,2015-01-27 20:24:07,2015-01-27 20:57:04,3194,"pizza",3,1,1800,1,1800,1800,45,36,37,251,721
"43",4,2015-01-27 21:21:30,2015-01-27 21:52:23,4615,"vietnamese",5,5,2110,4,225,860,54,31,35,251,693
"44",2,2015-02-07 02:02:22,2015-02-07 02:56:38,278,"latin-american",3,3,4100,3,600,1800,140,98,161,251,871
"45",4,2015-02-15 21:21:39,2015-02-15 22:03:59,5660,"mexican",3,4,1798,3,569,919,46,44,60,251,859
"46",2,2015-01-26 02:12:43,2015-01-26 02:35:26,5839,"pizza",5,3,2377,3,599,1079,76,89,67,251,612
"47",4,2015-02-13 20:30:43,2015-02-13 21:17:52,6628,"fast",4,15,1005,5,0,329,96,86,136,251,689
"48",2,2015-01-24 02:04:11,2015-01-24 03:17:39,3813,"greek",5,11,13188,7,99,1699,115,107,166,251,318
"49",4,2015-02-12 00:56:04,2015-02-12 01:25:53,4367,"salad",2,2,2450,2,695,765,58,52,80,251,322
"50",2,2015-02-01 01:57:44,2015-02-01 03:08:13,3558,"mexican",1,4,3120,3,625,995,86,76,114,446,314
"51",4,2015-02-01 01:59:24,2015-02-01 03:17:00,6323,"vietnamese",2,3,3185,3,945,1295,82,81,121,251,996
"52",4,2015-02-03 01:24:55,2015-02-03 02:20:05,901,"catering",1,17,8400,11,200,950,53,50,94,446,386
"53",1,2015-01-26 00:05:35,2015-01-26 00:50:07,5265,"pizza",1,2,3600,2,200,2700,62,77,83,251,503
"54",1,2015-02-08 00:17:46,2015-02-08 00:40:18,4324,"american",5,4,3400,3,300,1000,10,9,8,251,122
